city_name,place_to_visit,place_name,avg_scoreR
Delhi,Hotels,The_Oberoi_New_Delhi,4.8
Delhi,Hotels,Andaz_Delhi,4.8
Delhi,Hotels,Taj_Palace_New_Delhi,4.7
Delhi,Hotels,The_Leela_Palace_New_Delhi,4.7
Delhi,Hotels,The_Suryaa_New_Delhi,4.6
Delhi,Hotels,The_Claridges_New_Delhi,4.6
Delhi,Hotels,Radisson,4.4
Delhi,Hotels,JW_Marriott_Hotel_New_Delhi,4.4
Delhi,Hotels,The_Lalit_New_Delhi,4.4
Delhi,Hotels,Le_Meridien_New_Delhi,3.7
Delhi,Restaurant,Shang_Palace,4.7
Delhi,Restaurant,Delhi_Darbar,4.4
Delhi,Restaurant,Nu_Delhi,4.4
Delhi,Restaurant,Indian_Accent_New_Delhi,3.9
Delhi,Restaurant,The_Spice_Route,3.7
Delhi,Restaurant,Gulati-New_Delhi,3.6
Delhi,Restaurant,Saravana_Bhavan,3.3
Delhi,Restaurant,Royal_Delhi,2.9
Delhi,Restaurant,4550_miles,2.8
Delhi,Restaurant,Karim_s_New_Delhi,2.4
Delhi,Things,Lodhi_Garden,4.4
Delhi,Things,Gurudwara_Bangla_Sahib,4.2
Delhi,Things,Humayun_s_Tomb,4.0
Delhi,Things,Qutub_Minar,3.9
Delhi,Things,Swaminarayan_Akshardham,3.7
Delhi,Things,Lotus_Temple,3.6
Delhi,Things,India_Gate,2.9
Delhi,Things,Red_Fort,2.9
Delhi,Things,Chandni_Chowk,2.8
Delhi,Things,Connaught_Place,2.4
